Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,Plugin Output
"10107","","","None","192.168.9.1","tcp","80","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
remote web server.","n/a","The remote web server type is :

cisco-IOS"
"10107","","","None","192.168.9.1","tcp","443","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
remote web server.","n/a","The remote web server type is :

cisco-IOS"
"10114","CVE-1999-0524","","None","192.168.9.1","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","The difference between the local and remote clocks is -3551 seconds.
"
"10267","","","None","192.168.9.1","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH
server by sending an empty authentication request.","n/a","
SSH version : SSH-2.0-Cisco-1.25
SSH supported authentication : password
"
"10287","","","None","192.168.9.1","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","For your information, here is the traceroute from 192.168.9.12 to 192.168.9.1 : 
192.168.9.12
192.168.9.1
"
"10663","","3.3","Low","192.168.9.1","udp","67","DHCP Server Detection","The remote DHCP server may expose information about the associated
network.","This script contacts the remote DHCP server (if any) and attempts to
retrieve information about the network layout. 

Some DHCP servers provide sensitive information such as the NIS domain
name, or network layout information such as the list of the network
web servers, and so on. 

It does not demonstrate any vulnerability, but a local attacker may
use DHCP to become intimately familiar with the associated network.","Apply filtering to keep this information off the network and remove
any options that are not in use.","
Nessus gathered the following information from the remote DHCP server :

  Master DHCP server of this network : 192.168.2.80
  IP address the DHCP server would attribute us : 192.168.9.12
  Netmask : 255.255.255.0
  DHCP server(s) identifier : 192.168.2.80
  Router : 192.168.9.1
  Domain name server(s) : 192.168.2.80 , 192.168.7.100
  Domain name : formatechedu.com"
"10863","","","None","192.168.9.1","tcp","443","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","Subject Name: 

Common Name: IOS-Self-Signed-Certificate-1163736704

Issuer Name: 

Common Name: IOS-Self-Signed-Certificate-1163736704

Serial Number: 01 

Version: 3

Signature Algorithm: MD5 With RSA Encryption

Not Valid Before: Mar 01 00:03:28 1993 GMT
Not Valid After: Jan 01 00:00:00 2020 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 1024 bits
Public Key: 00 A8 B7 E8 2C 0B C9 E6 09 6C 59 82 13 23 53 8A 1B 9C 1A A7 
            9E F1 2F F3 A8 61 3B 4E 87 86 0C AD D4 9B 48 96 80 17 C8 82 
            99 90 51 40 F4 7F 89 16 96 4C E7 9C A0 21 FD B2 62 7D 4C 3D 
            12 06 CB 86 4A 1E 6B 3A 50 88 1E 66 29 5D CB CC 2E 77 D5 0E 
            AD DD A6 61 7A 9C 5C 4F 8B 34 29 E7 AF CF 61 8B 18 1F 74 F2 
            BB 91 20 BC 1B 4C 85 8D C7 24 5F 21 0B DE D6 14 6C 68 E7 E4 
            5C E7 3A 94 33 F2 A3 00 1F 
Exponent: 01 00 01 

Signature Length: 128 bytes / 1024 bits
Signature: 00 03 01 1E 2D 99 42 72 DA 7A DA 99 CD 27 FA FF B6 01 75 F4 
           AC 61 F9 D3 84 92 B2 19 73 61 0E A0 45 48 0C 90 E9 1B CC 12 
           F4 28 00 E9 13 0F 65 CC B8 BC EC F2 6A 20 D7 B6 1D 35 1A 3A 
           3E 40 9B 82 B5 2E B7 42 34 88 EE BD 2E 29 EA F9 68 DA E5 B0 
           FB C1 43 67 8B 7A 83 27 AD 5B 4B 76 E6 95 7E 01 32 3E FD 8A 
           21 76 86 EA 6D 43 9B 39 80 9D 65 CC B0 CF BE 4A 1E 2C 3A BF 
           BB 4F 06 42 02 1B CD FC F3 

Extension: Basic Constraints (2.5.29.19)
Critical: 1

Extension: Subject Alternative Name (2.5.29.17)
Critical: 0
DNS: SodecoPOE.formatechedu.com


Extension: Authority Key Identifier (2.5.29.35)
Critical: 0
Key Identifier: 65 2F 17 D9 CA 84 34 F3 79 4B F3 A9 EB CE AF 49 F1 29 07 B5 


Extension: Subject Key Identifier (2.5.29.14)
Critical: 0
Subject Key Identifier: 65 2F 17 D9 CA 84 34 F3 79 4B F3 A9 EB CE AF 49 F1 29 07 B5 


"
"10881","","","None","192.168.9.1","tcp","22","SSH Protocol Versions Supported","A SSH server is running on the remote host.","This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.","n/a","The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.99
  - 2.0


SSHv2 host key fingerprint : a2:e1:4f:cd:ab:af:fa:4e:d4:5a:93:b5:d4:3e:86:f7
"
"10884","","","None","192.168.9.1","udp","123","Network Time Protocol (NTP) Server Detection","An NTP server is listening on the remote host.","An NTP (Network Time Protocol) server is listening on this port.  It
provides information about the current date and time of the remote
system and may provide system information.","n/a","It was possible to gather the following information from the remote NTP host :

system='cisco', leap=0, stratum=9, rootdelay=1.46, rootdispersion=0.87,
peer=52671, refid=192.168.2.7, reftime=0xD5503A4C.5DBC019A, poll=10,
clock=0xD5503D0D.16F270BA, phase=-0.297, freq=8.50, error=0.29
"
"11219","","","None","192.168.9.1","tcp","443","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.
It shall be reasonably quick even against a firewalled target.

Note that SYN scanners are less intrusive than TCP (full 
connect) scanners against broken services, but they might 
kill lame misconfigured firewalls. They might also leave unclosed
connections on the remote target, if the network is loaded.","Protect your target with an IP filter.","Port 443/tcp was found to be open"
"11219","","","None","192.168.9.1","tcp","80","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.
It shall be reasonably quick even against a firewalled target.

Note that SYN scanners are less intrusive than TCP (full 
connect) scanners against broken services, but they might 
kill lame misconfigured firewalls. They might also leave unclosed
connections on the remote target, if the network is loaded.","Protect your target with an IP filter.","Port 80/tcp was found to be open"
"11219","","","None","192.168.9.1","tcp","22","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.
It shall be reasonably quick even against a firewalled target.

Note that SYN scanners are less intrusive than TCP (full 
connect) scanners against broken services, but they might 
kill lame misconfigured firewalls. They might also leave unclosed
connections on the remote target, if the network is loaded.","Protect your target with an IP filter.","Port 22/tcp was found to be open"
"11936","","","None","192.168.9.1","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (TCP/IP, SMB, HTTP, NTP, SNMP, 
etc...), it is possible to guess the name of the remote operating 
system in use. It is also sometimes possible to guess the version of
the operating system.","n/a","
Remote operating system : CISCO IOS
Confidence Level : 90
Method : SSLcert

 
The remote host is running CISCO IOS"
